name,ipv4-address,groups,color,tags
h_37.120.199.196_CVE-2021-44228,37.120.199.196,groupname,red,CVE-2021-44228_Log4J
h_37.120.158.22_CVE-2021-44228,37.120.158.22,groupname,red,CVE-2021-44228_Log4J
h_221.228.87.37_CVE-2021-44228,221.228.87.37,groupname,red,CVE-2021-44228_Log4J
h_221.226.159.22_CVE-2021-44228,221.226.159.22,groupname,red,CVE-2021-44228_Log4J
h_218.89.222.71_CVE-2021-44228,218.89.222.71,groupname,red,CVE-2021-44228_Log4J
h_218.29.217.234_CVE-2021-44228,218.29.217.234,groupname,red,CVE-2021-44228_Log4J
h_217.146.83.229_CVE-2021-44228,217.146.83.229,groupname,red,CVE-2021-44228_Log4J
h_217.112.83.246_CVE-2021-44228,217.112.83.246,groupname,red,CVE-2021-44228_Log4J
h_213.203.177.219_CVE-2021-44228,213.203.177.219,groupname,red,CVE-2021-44228_Log4J
h_213.152.188.4_CVE-2021-44228,213.152.188.4,groupname,red,CVE-2021-44228_Log4J
h_212.192.216.30_CVE-2021-44228,212.192.216.30,groupname,red,CVE-2021-44228_Log4J
h_212.102.50.103_CVE-2021-44228,212.102.50.103,groupname,red,CVE-2021-44228_Log4J
h_212.102.50.89_CVE-2021-44228,212.102.50.89,groupname,red,CVE-2021-44228_Log4J
h_212.102.50.87_CVE-2021-44228,212.102.50.87,groupname,red,CVE-2021-44228_Log4J
h_211.218.126.140_CVE-2021-44228,211.218.126.140,groupname,red,CVE-2021-44228_Log4J
h_210.217.18.76_CVE-2021-44228,210.217.18.76,groupname,red,CVE-2021-44228_Log4J
h_209.141.58.146_CVE-2021-44228,209.141.58.146,groupname,red,CVE-2021-44228_Log4J
h_209.58.146.160_CVE-2021-44228,209.58.146.160,groupname,red,CVE-2021-44228_Log4J
h_203.27.106.165_CVE-2021-44228,203.27.106.165,groupname,red,CVE-2021-44228_Log4J
h_203.27.106.142_CVE-2021-44228,203.27.106.142,groupname,red,CVE-2021-44228_Log4J
h_199.249.230.119_CVE-2021-44228,199.249.230.119,groupname,red,CVE-2021-44228_Log4J
h_194.163.163.20_CVE-2021-44228,194.163.163.20,groupname,red,CVE-2021-44228_Log4J
h_194.110.84.93_CVE-2021-44228,194.110.84.93,groupname,red,CVE-2021-44228_Log4J
h_194.110.84.39_CVE-2021-44228,194.110.84.39,groupname,red,CVE-2021-44228_Log4J
h_193.32.210.182_CVE-2021-44228,193.32.210.182,groupname,red,CVE-2021-44228_Log4J
h_193.32.210.125_CVE-2021-44228,193.32.210.125,groupname,red,CVE-2021-44228_Log4J
h_191.101.132.152_CVE-2021-44228,191.101.132.152,groupname,red,CVE-2021-44228_Log4J
h_188.241.156.221_CVE-2021-44228,188.241.156.221,groupname,red,CVE-2021-44228_Log4J
h_188.166.225.104_CVE-2021-44228,188.166.225.104,groupname,red,CVE-2021-44228_Log4J
h_188.166.170.135_CVE-2021-44228,188.166.170.135,groupname,red,CVE-2021-44228_Log4J
h_188.166.105.150_CVE-2021-44228,188.166.105.150,groupname,red,CVE-2021-44228_Log4J
h_188.166.102.47_CVE-2021-44228,188.166.102.47,groupname,red,CVE-2021-44228_Log4J
h_188.166.86.206_CVE-2021-44228,188.166.86.206,groupname,red,CVE-2021-44228_Log4J
h_188.166.76.204_CVE-2021-44228,188.166.76.204,groupname,red,CVE-2021-44228_Log4J
h_188.166.45.93_CVE-2021-44228,188.166.45.93,groupname,red,CVE-2021-44228_Log4J
h_188.166.7.245_CVE-2021-44228,188.166.7.245,groupname,red,CVE-2021-44228_Log4J
h_185.245.87.245_CVE-2021-44228,185.245.87.245,groupname,red,CVE-2021-44228_Log4J
h_185.245.86.86_CVE-2021-44228,185.245.86.86,groupname,red,CVE-2021-44228_Log4J
h_185.245.86.84_CVE-2021-44228,185.245.86.84,groupname,red,CVE-2021-44228_Log4J
h_185.236.200.117_CVE-2021-44228,185.236.200.117,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.146_CVE-2021-44228,185.220.101.146,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.136_CVE-2021-44228,185.220.101.136,groupname,red,CVE-2021-44228_Log4J
h_185.218.127.47_CVE-2021-44228,185.218.127.47,groupname,red,CVE-2021-44228_Log4J
h_185.216.74.114_CVE-2021-44228,185.216.74.114,groupname,red,CVE-2021-44228_Log4J
h_185.202.220.109_CVE-2021-44228,185.202.220.109,groupname,red,CVE-2021-44228_Log4J
h_185.202.220.75_CVE-2021-44228,185.202.220.75,groupname,red,CVE-2021-44228_Log4J
h_185.199.100.233_CVE-2021-44228,185.199.100.233,groupname,red,CVE-2021-44228_Log4J
h_185.7.33.36_CVE-2021-44228,185.7.33.36,groupname,red,CVE-2021-44228_Log4J
h_182.253.160.196_CVE-2021-44228,182.253.160.196,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.253_CVE-2021-44228,182.99.247.253,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.188_CVE-2021-44228,182.99.247.188,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.181_CVE-2021-44228,182.99.247.181,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.145_CVE-2021-44228,182.99.247.145,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.122_CVE-2021-44228,182.99.247.122,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.75_CVE-2021-44228,182.99.247.75,groupname,red,CVE-2021-44228_Log4J
h_182.99.247.67_CVE-2021-44228,182.99.247.67,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.199_CVE-2021-44228,182.99.246.199,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.187_CVE-2021-44228,182.99.246.187,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.183_CVE-2021-44228,182.99.246.183,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.179_CVE-2021-44228,182.99.246.179,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.172_CVE-2021-44228,182.99.246.172,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.141_CVE-2021-44228,182.99.246.141,groupname,red,CVE-2021-44228_Log4J
h_182.99.246.106_CVE-2021-44228,182.99.246.106,groupname,red,CVE-2021-44228_Log4J
h_182.99.234.208_CVE-2021-44228,182.99.234.208,groupname,red,CVE-2021-44228_Log4J
h_180.149.231.245_CVE-2021-44228,180.149.231.245,groupname,red,CVE-2021-44228_Log4J
h_180.149.231.197_CVE-2021-44228,180.149.231.197,groupname,red,CVE-2021-44228_Log4J
h_180.149.231.196_CVE-2021-44228,180.149.231.196,groupname,red,CVE-2021-44228_Log4J
h_178.239.173.228_CVE-2021-44228,178.239.173.228,groupname,red,CVE-2021-44228_Log4J
h_178.239.167.180_CVE-2021-44228,178.239.167.180,groupname,red,CVE-2021-44228_Log4J
h_178.128.232.114_CVE-2021-44228,178.128.232.114,groupname,red,CVE-2021-44228_Log4J
h_178.128.226.212_CVE-2021-44228,178.128.226.212,groupname,red,CVE-2021-44228_Log4J
h_178.62.61.47_CVE-2021-44228,178.62.61.47,groupname,red,CVE-2021-44228_Log4J
