name,ipv4-address,groups,color,tags
h_172.105.88.234_CVE-2021-44228,172.105.88.234,groupname,red,CVE-2021-44228_Log4J
h_167.99.164.183_CVE-2021-44228,167.99.164.183,groupname,red,CVE-2021-44228_Log4J
h_161.35.156.13_CVE-2021-44228,161.35.156.13,groupname,red,CVE-2021-44228_Log4J
h_157.230.32.67_CVE-2021-44228,157.230.32.67,groupname,red,CVE-2021-44228_Log4J
h_107.189.30.58_CVE-2021-44228,107.189.30.58,groupname,red,CVE-2021-44228_Log4J
h_193.32.210.122_CVE-2021-44228,193.32.210.122,groupname,red,CVE-2021-44228_Log4J
h_167.71.1.144_CVE-2021-44228,167.71.1.144,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.127_CVE-2021-44228,139.177.178.127,groupname,red,CVE-2021-44228_Log4J
h_159.203.45.181_CVE-2021-44228,159.203.45.181,groupname,red,CVE-2021-44228_Log4J
h_163.172.60.213_CVE-2021-44228,163.172.60.213,groupname,red,CVE-2021-44228_Log4J
h_198.98.56.81_CVE-2021-44228,198.98.56.81,groupname,red,CVE-2021-44228_Log4J
h_167.99.44.32_CVE-2021-44228,167.99.44.32,groupname,red,CVE-2021-44228_Log4J
h_147.182.215.36_CVE-2021-44228,147.182.215.36,groupname,red,CVE-2021-44228_Log4J
h_157.245.108.125_CVE-2021-44228,157.245.108.125,groupname,red,CVE-2021-44228_Log4J
h_108.61.148.110_CVE-2021-44228,108.61.148.110,groupname,red,CVE-2021-44228_Log4J
h_165.232.84.228_CVE-2021-44228,165.232.84.228,groupname,red,CVE-2021-44228_Log4J
h_45.137.21.9_CVE-2021-44228,45.137.21.9,groupname,red,CVE-2021-44228_Log4J
h_167.172.34.76_CVE-2021-44228,167.172.34.76,groupname,red,CVE-2021-44228_Log4J
h_79.146.170.248_CVE-2021-44228,79.146.170.248,groupname,red,CVE-2021-44228_Log4J
h_46.101.223.115_CVE-2021-44228,46.101.223.115,groupname,red,CVE-2021-44228_Log4J
h_194.195.246.96_CVE-2021-44228,194.195.246.96,groupname,red,CVE-2021-44228_Log4J
h_139.59.188.119_CVE-2021-44228,139.59.188.119,groupname,red,CVE-2021-44228_Log4J
h_176.119.195.48_CVE-2021-44228,176.119.195.48,groupname,red,CVE-2021-44228_Log4J
h_142.93.36.237_CVE-2021-44228,142.93.36.237,groupname,red,CVE-2021-44228_Log4J
h_139.59.8.39_CVE-2021-44228,139.59.8.39,groupname,red,CVE-2021-44228_Log4J
h_188.166.225.104_CVE-2021-44228,188.166.225.104,groupname,red,CVE-2021-44228_Log4J
h_139.59.163.74_CVE-2021-44228,139.59.163.74,groupname,red,CVE-2021-44228_Log4J
h_137.184.105.192_CVE-2021-44228,137.184.105.192,groupname,red,CVE-2021-44228_Log4J
h_191.101.132.152_CVE-2021-44228,191.101.132.152,groupname,red,CVE-2021-44228_Log4J
h_161.35.155.230_CVE-2021-44228,161.35.155.230,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.126_CVE-2021-44228,139.177.178.126,groupname,red,CVE-2021-44228_Log4J
h_159.65.194.103_CVE-2021-44228,159.65.194.103,groupname,red,CVE-2021-44228_Log4J
h_20.73.161.16_CVE-2021-44228,20.73.161.16,groupname,red,CVE-2021-44228_Log4J
h_138.199.21.6_CVE-2021-44228,138.199.21.6,groupname,red,CVE-2021-44228_Log4J
h_140.246.171.141_CVE-2021-44228,140.246.171.141,groupname,red,CVE-2021-44228_Log4J
h_137.184.111.180_CVE-2021-44228,137.184.111.180,groupname,red,CVE-2021-44228_Log4J
h_195.19.192.26_CVE-2021-44228,195.19.192.26,groupname,red,CVE-2021-44228_Log4J
